01:32:40,831 INFO SeBS-6b5f: Created experiment output at /home/anou/msc-thesis/task-based-experiment/experiment-results/python/instrumented/640.video-processing-otel
01:32:41,157 INFO OpenWhisk.Resources-6348: Using user-provided configuration of storage for OpenWhisk.
01:32:41,158 INFO OpenWhisk-cf5b: Using existing resource name: fd5e1ae0.
01:32:41,160 INFO Benchmark-726d: Building benchmark 640.video-processing-opentelemetry. Reason: no cached code package.
02:21:48,327 INFO Experiment.PerfCost-3479: Processed 2100 samples out of 10000, 0 errors
02:22:02,60 INFO Experiment.PerfCost-3479: Processed 2110 samples out of 10000, 0 errors
02:22:15,772 INFO Experiment.PerfCost-3479: Processed 2120 samples out of 10000, 0 errors
02:22:29,497 INFO Experiment.PerfCost-3479: Processed 2130 samples out of 10000, 0 errors
02:22:43,244 INFO Experiment.PerfCost-3479: Processed 2140 samples out of 10000, 0 errors
02:22:55,514 INFO Experiment.PerfCost-3479: Processed 2150 samples out of 10000, 0 errors
02:23:09,229 INFO Experiment.PerfCost-3479: Processed 2160 samples out of 10000, 0 errors
02:23:22,967 INFO Experiment.PerfCost-3479: Processed 2170 samples out of 10000, 0 errors
02:23:36,688 INFO Experiment.PerfCost-3479: Processed 2180 samples out of 10000, 0 errors
02:23:50,482 INFO Experiment.PerfCost-3479: Processed 2190 samples out of 10000, 0 errors
02:24:04,217 INFO Experiment.PerfCost-3479: Processed 2200 samples out of 10000, 0 errors
02:24:16,709 INFO Experiment.PerfCost-3479: Processed 2210 samples out of 10000, 0 errors
02:24:30,471 INFO Experiment.PerfCost-3479: Processed 2220 samples out of 10000, 0 errors
02:24:44,216 INFO Experiment.PerfCost-3479: Processed 2230 samples out of 10000, 0 errors
02:24:58,679 INFO Experiment.PerfCost-3479: Processed 2240 samples out of 10000, 0 errors
02:25:12,414 INFO Experiment.PerfCost-3479: Processed 2250 samples out of 10000, 0 errors
02:25:26,169 INFO Experiment.PerfCost-3479: Processed 2260 samples out of 10000, 0 errors
02:25:40,955 INFO Experiment.PerfCost-3479: Processed 2270 samples out of 10000, 0 errors
02:25:56,280 INFO Experiment.PerfCost-3479: Processed 2280 samples out of 10000, 0 errors
02:26:09,994 INFO Experiment.PerfCost-3479: Processed 2290 samples out of 10000, 0 errors
02:26:24,503 INFO Experiment.PerfCost-3479: Processed 2300 samples out of 10000, 0 errors
02:26:38,208 INFO Experiment.PerfCost-3479: Processed 2310 samples out of 10000, 0 errors
02:26:52,845 INFO Experiment.PerfCost-3479: Processed 2320 samples out of 10000, 0 errors
02:27:06,579 INFO Experiment.PerfCost-3479: Processed 2330 samples out of 10000, 0 errors
02:27:20,312 INFO Experiment.PerfCost-3479: Processed 2340 samples out of 10000, 0 errors
02:27:34,43 INFO Experiment.PerfCost-3479: Processed 2350 samples out of 10000, 0 errors
02:27:47,795 INFO Experiment.PerfCost-3479: Processed 2360 samples out of 10000, 0 errors
02:28:01,513 INFO Experiment.PerfCost-3479: Processed 2370 samples out of 10000, 0 errors
02:28:17,166 INFO Experiment.PerfCost-3479: Processed 2380 samples out of 10000, 0 errors
02:28:32,20 INFO Experiment.PerfCost-3479: Processed 2390 samples out of 10000, 0 errors
02:28:45,760 INFO Experiment.PerfCost-3479: Processed 2400 samples out of 10000, 0 errors
