22:39:52,480 INFO SeBS-1771: Created experiment output at /home/anou/msc-thesis/task-based-experiment/experiment-results/python/instrumented/630.thumbnailer-otel
22:39:52,835 INFO OpenWhisk.Resources-c972: Using user-provided configuration of storage for OpenWhisk.
22:39:52,836 INFO OpenWhisk-685d: Using existing resource name: fd5e1ae0.
22:39:52,838 INFO Benchmark-27df: Building benchmark 630.thumbnailer-opentelemetry. Reason: no cached code package.
23:18:20,963 INFO Experiment.PerfCost-3e8c: Processed 2220 samples out of 10000, 0 errors
23:18:31,304 INFO Experiment.PerfCost-3e8c: Processed 2230 samples out of 10000, 0 errors
23:18:41,638 INFO Experiment.PerfCost-3e8c: Processed 2240 samples out of 10000, 0 errors
23:18:51,962 INFO Experiment.PerfCost-3e8c: Processed 2250 samples out of 10000, 0 errors
23:19:02,296 INFO Experiment.PerfCost-3e8c: Processed 2260 samples out of 10000, 0 errors
23:19:12,644 INFO Experiment.PerfCost-3e8c: Processed 2270 samples out of 10000, 0 errors
23:19:22,962 INFO Experiment.PerfCost-3e8c: Processed 2280 samples out of 10000, 0 errors
23:19:33,278 INFO Experiment.PerfCost-3e8c: Processed 2290 samples out of 10000, 0 errors
23:19:43,602 INFO Experiment.PerfCost-3e8c: Processed 2300 samples out of 10000, 0 errors
23:19:53,926 INFO Experiment.PerfCost-3e8c: Processed 2310 samples out of 10000, 0 errors
23:20:04,259 INFO Experiment.PerfCost-3e8c: Processed 2320 samples out of 10000, 0 errors
23:20:14,604 INFO Experiment.PerfCost-3e8c: Processed 2330 samples out of 10000, 0 errors
23:20:24,949 INFO Experiment.PerfCost-3e8c: Processed 2340 samples out of 10000, 0 errors
23:20:35,269 INFO Experiment.PerfCost-3e8c: Processed 2350 samples out of 10000, 0 errors
23:20:45,602 INFO Experiment.PerfCost-3e8c: Processed 2360 samples out of 10000, 0 errors
23:20:55,966 INFO Experiment.PerfCost-3e8c: Processed 2370 samples out of 10000, 0 errors
23:21:06,299 INFO Experiment.PerfCost-3e8c: Processed 2380 samples out of 10000, 0 errors
23:21:16,628 INFO Experiment.PerfCost-3e8c: Processed 2390 samples out of 10000, 0 errors
23:21:26,958 INFO Experiment.PerfCost-3e8c: Processed 2400 samples out of 10000, 0 errors
23:21:37,274 INFO Experiment.PerfCost-3e8c: Processed 2410 samples out of 10000, 0 errors
23:21:47,626 INFO Experiment.PerfCost-3e8c: Processed 2420 samples out of 10000, 0 errors
23:21:57,966 INFO Experiment.PerfCost-3e8c: Processed 2430 samples out of 10000, 0 errors
23:22:08,297 INFO Experiment.PerfCost-3e8c: Processed 2440 samples out of 10000, 0 errors
23:22:18,625 INFO Experiment.PerfCost-3e8c: Processed 2450 samples out of 10000, 0 errors
23:22:28,996 INFO Experiment.PerfCost-3e8c: Processed 2460 samples out of 10000, 0 errors
23:22:39,334 INFO Experiment.PerfCost-3e8c: Processed 2470 samples out of 10000, 0 errors
23:22:49,682 INFO Experiment.PerfCost-3e8c: Processed 2480 samples out of 10000, 0 errors
23:23:00,17 INFO Experiment.PerfCost-3e8c: Processed 2490 samples out of 10000, 0 errors
