00:50:29,207 INFO SeBS-4606: Created experiment output at /home/anou/msc-thesis/task-based-experiment/experiment-results/nodejs/non-instrumented/221.video-processing
00:50:29,553 INFO OpenWhisk.Resources-ca32: Using user-provided configuration of storage for OpenWhisk.
00:50:29,553 INFO OpenWhisk-d0ba: Using existing resource name: 91d37410.
00:50:29,646 INFO Benchmark-6d75: Building benchmark 221.video-processing. Reason: no cached code package.
01:27:19,365 INFO Experiment.PerfCost-bfba: Processed 1760 samples out of 10000, 0 errors
01:27:31,827 INFO Experiment.PerfCost-bfba: Processed 1770 samples out of 10000, 0 errors
01:27:44,129 INFO Experiment.PerfCost-bfba: Processed 1780 samples out of 10000, 0 errors
01:27:56,462 INFO Experiment.PerfCost-bfba: Processed 1790 samples out of 10000, 0 errors
01:28:08,933 INFO Experiment.PerfCost-bfba: Processed 1800 samples out of 10000, 0 errors
01:28:21,284 INFO Experiment.PerfCost-bfba: Processed 1810 samples out of 10000, 0 errors
01:28:33,763 INFO Experiment.PerfCost-bfba: Processed 1820 samples out of 10000, 0 errors
01:28:46,229 INFO Experiment.PerfCost-bfba: Processed 1830 samples out of 10000, 0 errors
01:28:58,594 INFO Experiment.PerfCost-bfba: Processed 1840 samples out of 10000, 0 errors
01:29:11,16 INFO Experiment.PerfCost-bfba: Processed 1850 samples out of 10000, 0 errors
01:29:23,406 INFO Experiment.PerfCost-bfba: Processed 1860 samples out of 10000, 0 errors
01:29:35,867 INFO Experiment.PerfCost-bfba: Processed 1870 samples out of 10000, 0 errors
01:29:48,330 INFO Experiment.PerfCost-bfba: Processed 1880 samples out of 10000, 0 errors
01:30:00,824 INFO Experiment.PerfCost-bfba: Processed 1890 samples out of 10000, 0 errors
01:30:13,324 INFO Experiment.PerfCost-bfba: Processed 1900 samples out of 10000, 0 errors
01:30:25,683 INFO Experiment.PerfCost-bfba: Processed 1910 samples out of 10000, 0 errors
01:30:38,124 INFO Experiment.PerfCost-bfba: Processed 1920 samples out of 10000, 0 errors
01:30:50,491 INFO Experiment.PerfCost-bfba: Processed 1930 samples out of 10000, 0 errors
01:31:02,849 INFO Experiment.PerfCost-bfba: Processed 1940 samples out of 10000, 0 errors
01:31:15,290 INFO Experiment.PerfCost-bfba: Processed 1950 samples out of 10000, 0 errors
01:31:27,553 INFO Experiment.PerfCost-bfba: Processed 1960 samples out of 10000, 0 errors
01:31:40,20 INFO Experiment.PerfCost-bfba: Processed 1970 samples out of 10000, 0 errors
01:31:52,470 INFO Experiment.PerfCost-bfba: Processed 1980 samples out of 10000, 0 errors
01:32:04,943 INFO Experiment.PerfCost-bfba: Processed 1990 samples out of 10000, 0 errors
01:32:17,415 INFO Experiment.PerfCost-bfba: Processed 2000 samples out of 10000, 0 errors
01:32:29,812 INFO Experiment.PerfCost-bfba: Processed 2010 samples out of 10000, 0 errors
01:32:42,249 INFO Experiment.PerfCost-bfba: Processed 2020 samples out of 10000, 0 errors
01:32:54,686 INFO Experiment.PerfCost-bfba: Processed 2030 samples out of 10000, 0 errors
01:33:07,83 INFO Experiment.PerfCost-bfba: Processed 2040 samples out of 10000, 0 errors
01:33:19,549 INFO Experiment.PerfCost-bfba: Processed 2050 samples out of 10000, 0 errors
01:33:31,922 INFO Experiment.PerfCost-bfba: Processed 2060 samples out of 10000, 0 errors
01:33:44,358 INFO Experiment.PerfCost-bfba: Processed 2070 samples out of 10000, 0 errors
01:33:56,777 INFO Experiment.PerfCost-bfba: Processed 2080 samples out of 10000, 0 errors
01:34:09,238 INFO Experiment.PerfCost-bfba: Processed 2090 samples out of 10000, 0 errors
01:34:21,671 INFO Experiment.PerfCost-bfba: Processed 2100 samples out of 10000, 0 errors
01:34:34,99 INFO Experiment.PerfCost-bfba: Processed 2110 samples out of 10000, 0 errors
01:34:46,479 INFO Experiment.PerfCost-bfba: Processed 2120 samples out of 10000, 0 errors
01:34:58,912 INFO Experiment.PerfCost-bfba: Processed 2130 samples out of 10000, 0 errors
01:35:11,467 INFO Experiment.PerfCost-bfba: Processed 2140 samples out of 10000, 0 errors
01:35:23,922 INFO Experiment.PerfCost-bfba: Processed 2150 samples out of 10000, 0 errors
01:35:36,341 INFO Experiment.PerfCost-bfba: Processed 2160 samples out of 10000, 0 errors
01:35:48,748 INFO Experiment.PerfCost-bfba: Processed 2170 samples out of 10000, 0 errors
01:36:01,204 INFO Experiment.PerfCost-bfba: Processed 2180 samples out of 10000, 0 errors
01:36:13,627 INFO Experiment.PerfCost-bfba: Processed 2190 samples out of 10000, 0 errors
01:36:26,69 INFO Experiment.PerfCost-bfba: Processed 2200 samples out of 10000, 0 errors
01:36:38,526 INFO Experiment.PerfCost-bfba: Processed 2210 samples out of 10000, 0 errors
01:36:50,936 INFO Experiment.PerfCost-bfba: Processed 2220 samples out of 10000, 0 errors
01:37:03,401 INFO Experiment.PerfCost-bfba: Processed 2230 samples out of 10000, 0 errors
01:37:15,899 INFO Experiment.PerfCost-bfba: Processed 2240 samples out of 10000, 0 errors
01:37:28,305 INFO Experiment.PerfCost-bfba: Processed 2250 samples out of 10000, 0 errors
01:37:40,792 INFO Experiment.PerfCost-bfba: Processed 2260 samples out of 10000, 0 errors
01:37:53,220 INFO Experiment.PerfCost-bfba: Processed 2270 samples out of 10000, 0 errors
01:38:05,539 INFO Experiment.PerfCost-bfba: Processed 2280 samples out of 10000, 0 errors
01:38:17,931 INFO Experiment.PerfCost-bfba: Processed 2290 samples out of 10000, 0 errors
01:38:30,365 INFO Experiment.PerfCost-bfba: Processed 2300 samples out of 10000, 0 errors
01:38:42,737 INFO Experiment.PerfCost-bfba: Processed 2310 samples out of 10000, 0 errors
01:38:55,123 INFO Experiment.PerfCost-bfba: Processed 2320 samples out of 10000, 0 errors
01:39:07,580 INFO Experiment.PerfCost-bfba: Processed 2330 samples out of 10000, 0 errors
01:39:19,939 INFO Experiment.PerfCost-bfba: Processed 2340 samples out of 10000, 0 errors
01:39:32,358 INFO Experiment.PerfCost-bfba: Processed 2350 samples out of 10000, 0 errors
