09:38:56,591 INFO SeBS-5b25: Created experiment output at /home/anou/msc-thesis/task-based-experiment/experiment-results/python/instrumented/650.compression-otel
09:38:56,909 INFO OpenWhisk.Resources-b432: Using user-provided configuration of storage for OpenWhisk.
10:28:35,926 INFO Experiment.PerfCost-5d88: Processed 2478 samples out of 10000, 0 errors
10:28:47,914 INFO Experiment.PerfCost-5d88: Processed 2488 samples out of 10000, 0 errors
10:28:59,873 INFO Experiment.PerfCost-5d88: Processed 2498 samples out of 10000, 0 errors
10:29:11,844 INFO Experiment.PerfCost-5d88: Processed 2508 samples out of 10000, 0 errors
10:29:23,821 INFO Experiment.PerfCost-5d88: Processed 2518 samples out of 10000, 0 errors
10:29:35,829 INFO Experiment.PerfCost-5d88: Processed 2528 samples out of 10000, 0 errors
10:29:47,775 INFO Experiment.PerfCost-5d88: Processed 2538 samples out of 10000, 0 errors
10:29:59,703 INFO Experiment.PerfCost-5d88: Processed 2548 samples out of 10000, 0 errors
10:30:11,658 INFO Experiment.PerfCost-5d88: Processed 2558 samples out of 10000, 0 errors
10:30:23,599 INFO Experiment.PerfCost-5d88: Processed 2568 samples out of 10000, 0 errors
10:30:35,571 INFO Experiment.PerfCost-5d88: Processed 2578 samples out of 10000, 0 errors
10:30:47,503 INFO Experiment.PerfCost-5d88: Processed 2588 samples out of 10000, 0 errors
10:30:59,408 INFO Experiment.PerfCost-5d88: Processed 2598 samples out of 10000, 0 errors
10:31:11,327 INFO Experiment.PerfCost-5d88: Processed 2608 samples out of 10000, 0 errors
10:31:23,263 INFO Experiment.PerfCost-5d88: Processed 2618 samples out of 10000, 0 errors
10:31:35,193 INFO Experiment.PerfCost-5d88: Processed 2628 samples out of 10000, 0 errors
10:31:47,116 INFO Experiment.PerfCost-5d88: Processed 2638 samples out of 10000, 0 errors
10:31:59,55 INFO Experiment.PerfCost-5d88: Processed 2648 samples out of 10000, 0 errors
10:32:11,17 INFO Experiment.PerfCost-5d88: Processed 2658 samples out of 10000, 0 errors
