17:01:40,120 INFO Experiment.PerfCost-5cc9: Processed 2470 samples out of 10000, 0 errors
17:01:50,201 INFO Experiment.PerfCost-5cc9: Processed 2480 samples out of 10000, 0 errors
17:02:00,283 INFO Experiment.PerfCost-5cc9: Processed 2490 samples out of 10000, 0 errors
17:02:10,365 INFO Experiment.PerfCost-5cc9: Processed 2500 samples out of 10000, 0 errors
17:02:20,439 INFO Experiment.PerfCost-5cc9: Processed 2510 samples out of 10000, 0 errors
17:02:30,523 INFO Experiment.PerfCost-5cc9: Processed 2520 samples out of 10000, 0 errors
17:02:40,599 INFO Experiment.PerfCost-5cc9: Processed 2530 samples out of 10000, 0 errors
17:02:50,676 INFO Experiment.PerfCost-5cc9: Processed 2540 samples out of 10000, 0 errors
17:03:00,759 INFO Experiment.PerfCost-5cc9: Processed 2550 samples out of 10000, 0 errors
17:03:10,853 INFO Experiment.PerfCost-5cc9: Processed 2560 samples out of 10000, 0 errors
17:03:20,927 INFO Experiment.PerfCost-5cc9: Processed 2570 samples out of 10000, 0 errors
17:03:31,1 INFO Experiment.PerfCost-5cc9: Processed 2580 samples out of 10000, 0 errors
17:03:41,80 INFO Experiment.PerfCost-5cc9: Processed 2590 samples out of 10000, 0 errors
17:03:51,161 INFO Experiment.PerfCost-5cc9: Processed 2600 samples out of 10000, 0 errors
17:04:01,244 INFO Experiment.PerfCost-5cc9: Processed 2610 samples out of 10000, 0 errors
17:04:11,322 INFO Experiment.PerfCost-5cc9: Processed 2620 samples out of 10000, 0 errors
17:04:21,393 INFO Experiment.PerfCost-5cc9: Processed 2630 samples out of 10000, 0 errors
17:04:31,491 INFO Experiment.PerfCost-5cc9: Processed 2640 samples out of 10000, 0 errors
17:04:41,563 INFO Experiment.PerfCost-5cc9: Processed 2650 samples out of 10000, 0 errors
17:04:51,636 INFO Experiment.PerfCost-5cc9: Processed 2660 samples out of 10000, 0 errors
17:05:01,706 INFO Experiment.PerfCost-5cc9: Processed 2670 samples out of 10000, 0 errors
17:05:11,779 INFO Experiment.PerfCost-5cc9: Processed 2680 samples out of 10000, 0 errors
17:05:21,860 INFO Experiment.PerfCost-5cc9: Processed 2690 samples out of 10000, 0 errors
17:05:31,959 INFO Experiment.PerfCost-5cc9: Processed 2700 samples out of 10000, 0 errors
17:05:42,37 INFO Experiment.PerfCost-5cc9: Processed 2710 samples out of 10000, 0 errors
17:05:52,123 INFO Experiment.PerfCost-5cc9: Processed 2720 samples out of 10000, 0 errors
17:06:02,194 INFO Experiment.PerfCost-5cc9: Processed 2730 samples out of 10000, 0 errors
17:06:12,280 INFO Experiment.PerfCost-5cc9: Processed 2740 samples out of 10000, 0 errors
17:06:22,351 INFO Experiment.PerfCost-5cc9: Processed 2750 samples out of 10000, 0 errors
17:06:32,426 INFO Experiment.PerfCost-5cc9: Processed 2760 samples out of 10000, 0 errors
17:06:42,499 INFO Experiment.PerfCost-5cc9: Processed 2770 samples out of 10000, 0 errors
17:06:52,575 INFO Experiment.PerfCost-5cc9: Processed 2780 samples out of 10000, 0 errors
17:07:02,651 INFO Experiment.PerfCost-5cc9: Processed 2790 samples out of 10000, 0 errors
17:07:12,738 INFO Experiment.PerfCost-5cc9: Processed 2800 samples out of 10000, 0 errors
17:07:22,821 INFO Experiment.PerfCost-5cc9: Processed 2810 samples out of 10000, 0 errors
