19:49:16,865 INFO SeBS-74f6: Created experiment output at /home/anou/msc-thesis/task-based-experiment/experiment-results/python/instrumented/620.uploader-otel
19:49:17,229 INFO OpenWhisk.Resources-b49a: Using user-provided configuration of storage for OpenWhisk.
19:49:17,230 INFO OpenWhisk-3384: Using existing resource name: fd5e1ae0.
19:49:17,233 INFO Benchmark-de75: Building benchmark 620.uploader-opentelemetry. Reason: no cached code package.
20:26:54,432 INFO Experiment.PerfCost-db86: Processed 2200 samples out of 10000, 0 errors
20:27:04,637 INFO Experiment.PerfCost-db86: Processed 2210 samples out of 10000, 0 errors
20:27:14,832 INFO Experiment.PerfCost-db86: Processed 2220 samples out of 10000, 0 errors
20:27:25,37 INFO Experiment.PerfCost-db86: Processed 2230 samples out of 10000, 0 errors
20:27:35,231 INFO Experiment.PerfCost-db86: Processed 2240 samples out of 10000, 0 errors
20:27:45,422 INFO Experiment.PerfCost-db86: Processed 2250 samples out of 10000, 0 errors
20:27:55,613 INFO Experiment.PerfCost-db86: Processed 2260 samples out of 10000, 0 errors
20:28:05,814 INFO Experiment.PerfCost-db86: Processed 2270 samples out of 10000, 0 errors
20:28:16,86 INFO Experiment.PerfCost-db86: Processed 2280 samples out of 10000, 0 errors
20:28:26,292 INFO Experiment.PerfCost-db86: Processed 2290 samples out of 10000, 0 errors
20:28:36,490 INFO Experiment.PerfCost-db86: Processed 2300 samples out of 10000, 0 errors
20:28:46,696 INFO Experiment.PerfCost-db86: Processed 2310 samples out of 10000, 0 errors
20:28:56,897 INFO Experiment.PerfCost-db86: Processed 2320 samples out of 10000, 0 errors
20:29:07,102 INFO Experiment.PerfCost-db86: Processed 2330 samples out of 10000, 0 errors
20:29:17,329 INFO Experiment.PerfCost-db86: Processed 2340 samples out of 10000, 0 errors
20:29:27,524 INFO Experiment.PerfCost-db86: Processed 2350 samples out of 10000, 0 errors
20:29:37,724 INFO Experiment.PerfCost-db86: Processed 2360 samples out of 10000, 0 errors
20:29:47,917 INFO Experiment.PerfCost-db86: Processed 2370 samples out of 10000, 0 errors
20:29:58,105 INFO Experiment.PerfCost-db86: Processed 2380 samples out of 10000, 0 errors
20:30:08,307 INFO Experiment.PerfCost-db86: Processed 2390 samples out of 10000, 0 errors
20:30:18,514 INFO Experiment.PerfCost-db86: Processed 2400 samples out of 10000, 0 errors
20:30:28,705 INFO Experiment.PerfCost-db86: Processed 2410 samples out of 10000, 0 errors
20:30:38,898 INFO Experiment.PerfCost-db86: Processed 2420 samples out of 10000, 0 errors
20:30:49,111 INFO Experiment.PerfCost-db86: Processed 2430 samples out of 10000, 0 errors
20:30:59,321 INFO Experiment.PerfCost-db86: Processed 2440 samples out of 10000, 0 errors
20:31:09,527 INFO Experiment.PerfCost-db86: Processed 2450 samples out of 10000, 0 errors
20:31:19,746 INFO Experiment.PerfCost-db86: Processed 2460 samples out of 10000, 0 errors
20:31:29,979 INFO Experiment.PerfCost-db86: Processed 2470 samples out of 10000, 0 errors
20:31:40,199 INFO Experiment.PerfCost-db86: Processed 2480 samples out of 10000, 0 errors
20:31:50,406 INFO Experiment.PerfCost-db86: Processed 2490 samples out of 10000, 0 errors
20:32:00,603 INFO Experiment.PerfCost-db86: Processed 2500 samples out of 10000, 0 errors
20:32:10,810 INFO Experiment.PerfCost-db86: Processed 2510 samples out of 10000, 0 errors
20:32:20,998 INFO Experiment.PerfCost-db86: Processed 2520 samples out of 10000, 0 errors
20:32:31,199 INFO Experiment.PerfCost-db86: Processed 2530 samples out of 10000, 0 errors
20:32:41,398 INFO Experiment.PerfCost-db86: Processed 2540 samples out of 10000, 0 errors
20:32:51,596 INFO Experiment.PerfCost-db86: Processed 2550 samples out of 10000, 0 errors
20:33:01,786 INFO Experiment.PerfCost-db86: Processed 2560 samples out of 10000, 0 errors
20:33:11,984 INFO Experiment.PerfCost-db86: Processed 2570 samples out of 10000, 0 errors
20:33:22,235 INFO Experiment.PerfCost-db86: Processed 2580 samples out of 10000, 0 errors
20:33:32,441 INFO Experiment.PerfCost-db86: Processed 2590 samples out of 10000, 0 errors
20:33:42,648 INFO Experiment.PerfCost-db86: Processed 2600 samples out of 10000, 0 errors
20:33:52,844 INFO Experiment.PerfCost-db86: Processed 2610 samples out of 10000, 0 errors
