17:00:09,908 INFO SeBS-3704: Created experiment output at /home/anou/msc-thesis/task-based-experiment/experiment-results/python/instrumented/610.dynamic-html-otel
17:00:10,273 INFO OpenWhisk.Resources-e9f0: Using user-provided configuration of storage for OpenWhisk.
17:00:10,273 INFO OpenWhisk-83d8: Using existing resource name: fd5e1ae0.
17:00:10,275 INFO Benchmark-40b9: Building benchmark 610.dynamic-html-otel. Reason: no cached code package.
17:32:24,519 INFO Experiment.PerfCost-0dff: Processed 1900 samples out of 10000, 0 errors
17:32:34,662 INFO Experiment.PerfCost-0dff: Processed 1910 samples out of 10000, 0 errors
17:32:44,774 INFO Experiment.PerfCost-0dff: Processed 1920 samples out of 10000, 0 errors
17:32:54,895 INFO Experiment.PerfCost-0dff: Processed 1930 samples out of 10000, 0 errors
17:33:05,8 INFO Experiment.PerfCost-0dff: Processed 1940 samples out of 10000, 0 errors
17:33:15,122 INFO Experiment.PerfCost-0dff: Processed 1950 samples out of 10000, 0 errors
17:33:25,230 INFO Experiment.PerfCost-0dff: Processed 1960 samples out of 10000, 0 errors
17:33:35,334 INFO Experiment.PerfCost-0dff: Processed 1970 samples out of 10000, 0 errors
17:33:45,440 INFO Experiment.PerfCost-0dff: Processed 1980 samples out of 10000, 0 errors
17:33:55,552 INFO Experiment.PerfCost-0dff: Processed 1990 samples out of 10000, 0 errors
17:34:05,659 INFO Experiment.PerfCost-0dff: Processed 2000 samples out of 10000, 0 errors
17:34:15,774 INFO Experiment.PerfCost-0dff: Processed 2010 samples out of 10000, 0 errors
17:34:25,904 INFO Experiment.PerfCost-0dff: Processed 2020 samples out of 10000, 0 errors
17:34:36,22 INFO Experiment.PerfCost-0dff: Processed 2030 samples out of 10000, 0 errors
17:34:46,126 INFO Experiment.PerfCost-0dff: Processed 2040 samples out of 10000, 0 errors
17:34:56,237 INFO Experiment.PerfCost-0dff: Processed 2050 samples out of 10000, 0 errors
17:35:06,348 INFO Experiment.PerfCost-0dff: Processed 2060 samples out of 10000, 0 errors
17:35:16,455 INFO Experiment.PerfCost-0dff: Processed 2070 samples out of 10000, 0 errors
17:35:26,566 INFO Experiment.PerfCost-0dff: Processed 2080 samples out of 10000, 0 errors
17:35:36,672 INFO Experiment.PerfCost-0dff: Processed 2090 samples out of 10000, 0 errors
17:35:46,813 INFO Experiment.PerfCost-0dff: Processed 2100 samples out of 10000, 0 errors
17:35:56,938 INFO Experiment.PerfCost-0dff: Processed 2110 samples out of 10000, 0 errors
17:36:07,56 INFO Experiment.PerfCost-0dff: Processed 2120 samples out of 10000, 0 errors
17:36:17,155 INFO Experiment.PerfCost-0dff: Processed 2130 samples out of 10000, 0 errors
17:36:27,265 INFO Experiment.PerfCost-0dff: Processed 2140 samples out of 10000, 0 errors
17:36:37,365 INFO Experiment.PerfCost-0dff: Processed 2150 samples out of 10000, 0 errors
17:36:47,476 INFO Experiment.PerfCost-0dff: Processed 2160 samples out of 10000, 0 errors
17:36:57,586 INFO Experiment.PerfCost-0dff: Processed 2170 samples out of 10000, 0 errors
17:37:07,708 INFO Experiment.PerfCost-0dff: Processed 2180 samples out of 10000, 0 errors
17:37:17,811 INFO Experiment.PerfCost-0dff: Processed 2190 samples out of 10000, 0 errors
17:37:27,908 INFO Experiment.PerfCost-0dff: Processed 2200 samples out of 10000, 0 errors
17:37:38,40 INFO Experiment.PerfCost-0dff: Processed 2210 samples out of 10000, 0 errors
17:37:48,139 INFO Experiment.PerfCost-0dff: Processed 2220 samples out of 10000, 0 errors
17:37:58,241 INFO Experiment.PerfCost-0dff: Processed 2230 samples out of 10000, 0 errors
17:38:08,357 INFO Experiment.PerfCost-0dff: Processed 2240 samples out of 10000, 0 errors
17:38:18,458 INFO Experiment.PerfCost-0dff: Processed 2250 samples out of 10000, 0 errors
17:38:28,578 INFO Experiment.PerfCost-0dff: Processed 2260 samples out of 10000, 0 errors
17:38:38,687 INFO Experiment.PerfCost-0dff: Processed 2270 samples out of 10000, 0 errors
17:38:48,805 INFO Experiment.PerfCost-0dff: Processed 2280 samples out of 10000, 0 errors
17:38:58,916 INFO Experiment.PerfCost-0dff: Processed 2290 samples out of 10000, 0 errors
17:39:09,23 INFO Experiment.PerfCost-0dff: Processed 2300 samples out of 10000, 0 errors
17:39:19,137 INFO Experiment.PerfCost-0dff: Processed 2310 samples out of 10000, 0 errors
17:39:29,238 INFO Experiment.PerfCost-0dff: Processed 2320 samples out of 10000, 0 errors
17:39:39,349 INFO Experiment.PerfCost-0dff: Processed 2330 samples out of 10000, 0 errors
17:39:49,458 INFO Experiment.PerfCost-0dff: Processed 2340 samples out of 10000, 0 errors
17:39:59,570 INFO Experiment.PerfCost-0dff: Processed 2350 samples out of 10000, 0 errors
17:40:09,684 INFO Experiment.PerfCost-0dff: Processed 2360 samples out of 10000, 0 errors
17:40:19,798 INFO Experiment.PerfCost-0dff: Processed 2370 samples out of 10000, 0 errors
17:40:29,907 INFO Experiment.PerfCost-0dff: Processed 2380 samples out of 10000, 0 errors
17:40:40,50 INFO Experiment.PerfCost-0dff: Processed 2390 samples out of 10000, 0 errors
17:40:50,199 INFO Experiment.PerfCost-0dff: Processed 2400 samples out of 10000, 0 errors
17:41:00,310 INFO Experiment.PerfCost-0dff: Processed 2410 samples out of 10000, 0 errors
17:41:10,430 INFO Experiment.PerfCost-0dff: Processed 2420 samples out of 10000, 0 errors
17:41:20,536 INFO Experiment.PerfCost-0dff: Processed 2430 samples out of 10000, 0 errors
17:41:30,648 INFO Experiment.PerfCost-0dff: Processed 2440 samples out of 10000, 0 errors
17:41:40,769 INFO Experiment.PerfCost-0dff: Processed 2450 samples out of 10000, 0 errors
17:41:50,883 INFO Experiment.PerfCost-0dff: Processed 2460 samples out of 10000, 0 errors
17:42:00,989 INFO Experiment.PerfCost-0dff: Processed 2470 samples out of 10000, 0 errors
17:42:11,95 INFO Experiment.PerfCost-0dff: Processed 2480 samples out of 10000, 0 errors
17:42:21,208 INFO Experiment.PerfCost-0dff: Processed 2490 samples out of 10000, 0 errors
17:42:31,319 INFO Experiment.PerfCost-0dff: Processed 2500 samples out of 10000, 0 errors
17:42:41,428 INFO Experiment.PerfCost-0dff: Processed 2510 samples out of 10000, 0 errors
17:42:51,541 INFO Experiment.PerfCost-0dff: Processed 2520 samples out of 10000, 0 errors
17:43:01,660 INFO Experiment.PerfCost-0dff: Processed 2530 samples out of 10000, 0 errors
17:43:11,775 INFO Experiment.PerfCost-0dff: Processed 2540 samples out of 10000, 0 errors
17:43:21,889 INFO Experiment.PerfCost-0dff: Processed 2550 samples out of 10000, 0 errors
