16:49:24,6 INFO SeBS-3a87: Created experiment output at /home/anou/msc-thesis/task-based-experiment/experiment-results/nodejs/instrumented/620.uploader-otel
16:49:24,353 INFO OpenWhisk.Resources-49e2: Using user-provided configuration of storage for OpenWhisk.
16:49:24,354 INFO OpenWhisk-6aa3: Using existing resource name: 8504288e.
16:49:24,358 INFO Benchmark-1bfc: Building benchmark 620.uploader-opentelemetry. Reason: no cached code package.
17:31:53,550 INFO Experiment.PerfCost-961b: Processed 2490 samples out of 10000, 0 errors
17:32:03,748 INFO Experiment.PerfCost-961b: Processed 2500 samples out of 10000, 0 errors
17:32:13,932 INFO Experiment.PerfCost-961b: Processed 2510 samples out of 10000, 0 errors
17:32:24,141 INFO Experiment.PerfCost-961b: Processed 2520 samples out of 10000, 0 errors
17:32:34,301 INFO Experiment.PerfCost-961b: Processed 2530 samples out of 10000, 0 errors
17:32:44,488 INFO Experiment.PerfCost-961b: Processed 2540 samples out of 10000, 0 errors
17:32:54,656 INFO Experiment.PerfCost-961b: Processed 2550 samples out of 10000, 0 errors
17:33:04,834 INFO Experiment.PerfCost-961b: Processed 2560 samples out of 10000, 0 errors
17:33:15,19 INFO Experiment.PerfCost-961b: Processed 2570 samples out of 10000, 0 errors
17:33:25,203 INFO Experiment.PerfCost-961b: Processed 2580 samples out of 10000, 0 errors
17:33:35,369 INFO Experiment.PerfCost-961b: Processed 2590 samples out of 10000, 0 errors
17:33:45,533 INFO Experiment.PerfCost-961b: Processed 2600 samples out of 10000, 0 errors
17:33:55,709 INFO Experiment.PerfCost-961b: Processed 2610 samples out of 10000, 0 errors
