19:39:34,775 INFO SeBS-c6b9: Created experiment output at /home/anou/msc-thesis/task-based-experiment/experiment-results/nodejs/instrumented/630.thumbnailer-otel
19:39:35,93 INFO OpenWhisk.Resources-151e: Using user-provided configuration of storage for OpenWhisk.
19:39:35,94 INFO OpenWhisk-24e9: Using existing resource name: 8504288e.
19:39:35,98 INFO Benchmark-0fec: Building benchmark 630.thumbnailer-opentelemetry. Reason: no cached code package.
20:23:27,59 INFO Experiment.PerfCost-0e34: Processed 2410 samples out of 10000, 0 errors
20:23:37,780 INFO Experiment.PerfCost-0e34: Processed 2420 samples out of 10000, 0 errors
20:23:48,506 INFO Experiment.PerfCost-0e34: Processed 2430 samples out of 10000, 0 errors
20:23:59,233 INFO Experiment.PerfCost-0e34: Processed 2440 samples out of 10000, 0 errors
20:24:09,939 INFO Experiment.PerfCost-0e34: Processed 2450 samples out of 10000, 0 errors
20:24:20,653 INFO Experiment.PerfCost-0e34: Processed 2460 samples out of 10000, 0 errors
20:24:31,376 INFO Experiment.PerfCost-0e34: Processed 2470 samples out of 10000, 0 errors
20:24:42,88 INFO Experiment.PerfCost-0e34: Processed 2480 samples out of 10000, 0 errors
20:24:52,794 INFO Experiment.PerfCost-0e34: Processed 2490 samples out of 10000, 0 errors
20:25:03,467 INFO Experiment.PerfCost-0e34: Processed 2500 samples out of 10000, 0 errors
20:25:14,224 INFO Experiment.PerfCost-0e34: Processed 2510 samples out of 10000, 0 errors
20:25:24,960 INFO Experiment.PerfCost-0e34: Processed 2520 samples out of 10000, 0 errors
20:25:35,712 INFO Experiment.PerfCost-0e34: Processed 2530 samples out of 10000, 0 errors
20:25:46,446 INFO Experiment.PerfCost-0e34: Processed 2540 samples out of 10000, 0 errors
20:25:57,231 INFO Experiment.PerfCost-0e34: Processed 2550 samples out of 10000, 0 errors
